macroarea,Phoneme,SegmentClass,freq,phoible_freq,delta,freq_phoible_no_macroarea
Africa,ʙ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,ɓː,consonant,0.012429378531073447,0.003642384105960265,0.008786994425113182,NA
Africa,ɓ̥ː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ɓʲ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,ɓʷ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,cçʷ,consonant,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,cçʷʰ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,cʲ,consonant,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,cʷʰ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,cʼː,consonant,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,ɕ̟ː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ɕᶣ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,d̩,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̞,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̪̚,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̪̰,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d͈ː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̺ː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̟ːʑ̟,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̪ð,consonant,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,ðˠ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,dlʷ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,d̤ɮ̤,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,dɾ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,dᶣ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,dʷʲ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,dx,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,d̪x,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,dzˠ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
